present,location,dist,elev,vector,year,rev_pres
1,E.Tarbet,155,2.8,155.0252883,2008,0
1,E.Tarbet,170,4.7,170.0649582,2008,0
1,E.Tarbet,170,4.8,170.0677512,2008,0
1,E.Tarbet,184,4.6,184.057491,2008,0
1,E.Tarbet,201,2.4,201.0143278,2008,0
1,E.Tarbet,239,3.2,239.0214216,2008,0
1,E.Tarbet,258,3.1,258.0186234,2008,0
1,E.Tarbet,267,3.4,267.0216471,2008,0
1,E.Tarbet,332,2.4,332.0086746,2008,0
1,E.Tarbet,338,2.1,338.0065236,2008,0
1,E.Tarbet,344,2.2,344.0070348,2008,0
1,E.Tarbet,345,2,345.0057971,2008,0
1,E.Tarbet,355,2.4,355.0081126,2008,0
1,E.Tarbet,327,1.8,327.0049541,2008,0
1,E.Tarbet,328,1.9,328.005503,2008,0
1,E.Tarbet,338,1.8,338.0047929,2008,0
1,E.Tarbet,327,2.5,327.0095564,2008,0
1,E.Tarbet,325,2.4,325.0088614,2008,0
1,E.Tarbet,316,2.4,316.0091138,2008,0
1,E.Tarbet,285,2.9,285.014754,2008,0
1,E.Tarbet,271,3.4,271.0213276,2008,0
1,E.Tarbet,343,4.3,343.0269523,2008,0
1,E.Tarbet,310,4.5,310.0326596,2008,0
1,E.Tarbet,211,3.3,211.0258041,2008,0
1,E.Tarbet,342,11.2,342.1833427,2008,0
1,E.Tarbet,359,13.6,359.2575121,2008,0
1,E.Tarbet,339,9.8,339.1416223,2008,0
1,E.Tarbet,326,8.9,326.1214651,2008,0
1,E.Tarbet,303,6.7,303.0740669,2008,0
1,E.Tarbet,312,7.4,312.0877441,2008,0
1,E.Tarbet,91,3.6,91.07118095,2008,0
1,The_Loan,95,7.9,95.32790777,2008,0
1,The_Loan,248,13.7,248.378119,2008,0
1,The_Loan,76,4.1,76.11051176,2008,0
1,The_Loan,113,3.9,113.0672809,2008,0
1,The_Loan,115,3.7,115.0595063,2008,0
1,The_Loan,78,2.7,78.04671678,2008,0
1,The_Loan,106,4,106.0754448,2008,0
1,The_Loan,134,5.2,134.1008576,2008,0
1,The_Loan,155,5.4,155.094036,2008,0
1,The_Loan,122,3.8,122.059166,2008,0
1,The_Loan,120,4.6,120.0881343,2008,0
1,The_Loan,167,4.5,167.0606177,2008,0
1,The_Loan,173,4.5,173.0585161,2008,0
1,The_Loan,203,4.6,203.0521115,2008,0
1,The_Loan,207,4.9,207.057987,2008,0
1,The_Loan,216,4.8,216.0533268,2008,0
1,The_Loan,203,3.5,203.0301702,2008,0
1,The_Loan,231,3.6,231.0280502,2008,0
1,The_Loan,220,3.7,220.0311114,2008,0
1,The_Loan,175,2.9,175.0240269,2008,0
1,Pilgrims,91,2,91.02197537,2008,0
1,Pilgrims,90,2.1,90.02449667,2008,0
1,Pilgrims,89,1.9,89.02027859,2008,0
1,Pilgrims,91,2,91.02197537,2008,0
1,Pilgrims,93,2.3,93.02843651,2008,0
1,Pilgrims,95,2.4,95.03031095,2008,0
1,Pilgrims,94,2.3,94.02813409,2008,0
1,Pilgrims,92,2.2,92.02630059,2008,0
1,Pilgrims,98,2.2,98.02469077,2008,0
1,Pilgrims,90,2.1,90.02449667,2008,0
1,Pilgrims,91,2,91.02197537,2008,0
1,Pilgrims,89,1.8,89.01820039,2008,0
1,Pilgrims,88,2.1,88.02505325,2008,0
1,Pilgrims,91,2.2,91.02658952,2008,0
1,Pilgrims,88,1.8,88.01840717,2008,0
1,Pilgrims,90,2.1,90.02449667,2008,0
1,Pilgrims,86,1.9,86.02098581,2008,0
1,Pilgrims,88,2.2,88.0274957,2008,0
1,Pilgrims,87,2.1,87.02534114,2008,0
1,Pilgrims,85,2,85.02352616,2008,0
1,Pilgrims,86,2.1,86.02563571,2008,0
1,Pilgrims,86,2,86.02325267,2008,0
1,Pilgrims,85,2.1,85.02593722,2008,0
1,Pilgrims,84,2.3,84.0314822,2008,0
1,Pilgrims,84,2.3,84.0314822,2008,0
1,Pilgrims,96,3.4,96.06018946,2008,0
